analysis_kind,analysis_id,metric,method,status,reason
method_confidence_interval,position_mae:deployed_p_only,position_mae,deployed_p_only,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_mae,estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q100::deployed_p_only,position_mae,estimator_rank_3::ca_kf_s1e-06_q100::deployed_p_only,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_direct,position_mae,estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_direct,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_ruckig,position_mae,estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_ruckig,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_direct,position_mae,estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_direct,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_ruckig,position_mae,estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_ruckig,available_complete_denominator,exact split-manifest denominator verified
method_confidence_interval,position_mae:estimator_rank_3::ca_kf_s1e-06_q100::predicted_p,position_mae,estimator_rank_3::ca_kf_s1e-06_q100::predicted_p,available_complete_denominator,exact split-manifest denominator verified
