schema_version,criterion_id,family,scope,method,metric,source_artifact,observed_value,operator,threshold_value,threshold_defined,numerator,denominator,denominator_defined,status,required,failure_stage,notes
otg.section16-acceptance.v1,paired_rmse_relative_improvement_at_least_5pct,governed_pva_core,clean_locked_test_whole_trajectories,one_step_governed_pva_direct,relative_improvement,statistics/paired_comparisons.csv,0.7737753022695921,>=,0.05,True,120.0,120.0,True,pass,True,estimator|prediction|information_condition,"Paired trajectory RMSE; candidate and baseline share estimator, predictor, and H."
otg.section16-acceptance.v1,paired_rmse_95pct_ci_supports_improvement,governed_pva_core,clean_locked_test_whole_trajectories,one_step_governed_pva_direct,relative_improvement_ci_low,statistics/paired_comparisons.csv,0.6996349531461117,>,0.0,True,120.0,120.0,True,pass,True,estimator|prediction|information_condition,"Lower endpoint of the predeclared 10,000-resample paired 95% interval."
otg.section16-acceptance.v1,paired_absolute_lag_not_worse,governed_pva_core,clean_locked_test_whole_trajectories,one_step_governed_pva_direct,mean_abs_lag_candidate_minus_baseline_s,locked_test/metrics_by_trajectory.csv,-0.0564166666666667,<=,0.0,True,120.0,120.0,True,pass,True,estimator|prediction|information_condition,"Uses absolute signed lag before pairing; baseline mean=0.202916666667s, candidate mean=0.1465s."
otg.section16-acceptance.v1,paired_max_error_not_worse,governed_pva_core,clean_locked_test_whole_trajectories,one_step_governed_pva_direct,position_max_abs_error_candidate_minus_baseline,statistics/paired_comparisons.csv,-0.27142484114452253,<=,0.0,True,120.0,120.0,True,pass,True,estimator|prediction|information_condition,Trajectory-paired candidate-minus-baseline maximum absolute error.
otg.section16-acceptance.v1,continuous_velocity_margin_nonnegative,continuous_constraints,every_clean_candidate_command_cycle_and_joint,one_step_governed_pva_direct,velocity_margin_min,locked_test/constraint_audit.csv,0.0,>=,-1e-08,True,42199.0,42199.0,True,pass,True,governor|follower,Exact direct-follower continuous velocity audit; threshold is audit tolerance.
otg.section16-acceptance.v1,continuous_acceleration_margin_nonnegative,continuous_constraints,every_clean_candidate_command_cycle_and_joint,one_step_governed_pva_direct,acceleration_margin_min,locked_test/constraint_audit.csv,0.0,>=,-1e-08,True,42199.0,42199.0,True,pass,True,governor|follower,Exact direct-follower continuous acceleration audit.
otg.section16-acceptance.v1,continuous_jerk_margin_nonnegative,continuous_constraints,every_clean_candidate_command_cycle_and_joint,one_step_governed_pva_direct,jerk_margin_min,locked_test/constraint_audit.csv,2938.936849116396,>=,-1e-08,True,42199.0,42199.0,True,pass,True,governor|follower,Exact direct-follower continuous internal jerk audit.
otg.section16-acceptance.v1,continuous_vaj_violation_count_zero,continuous_constraints,every_clean_candidate_command_cycle_and_joint,one_step_governed_pva_direct,violation_count,locked_test/constraint_audit.csv,0.0,==,0.0,True,0.0,42199.0,True,pass,True,governor|follower,Combined V/A/internal-J violation count; individual margins are separate rows.
otg.section16-acceptance.v1,nonfallback_point_admissibility_100pct,executable_target_invariants,nonfallback_clean_candidate_targets,one_step_governed_pva_direct,nonfallback_point_admissible_rate,locked_test/governor_invariants.csv,1.0,rate==,1.0,True,42199.0,42199.0,True,pass,True,governor,Independently recomputed from canonical Parquet and compared with saved CSV.
otg.section16-acceptance.v1,nonfallback_t_free_le_dt_100pct,executable_target_invariants,nonfallback_clean_candidate_targets,one_step_governed_pva_direct,nonfallback_one_step_reachable_rate,locked_test/governor_invariants.csv,1.0,rate==,1.0,True,42199.0,42199.0,True,pass,True,governor|follower,T_free is the unconstrained frozen solve; every nonfallback value is recorded.
